"PERMNO","Company Name","Ticker","SP500 Start","SP500 End"
"10057","ACME CLEVELAND CORP","AMT","March 1, 1957","July 2, 1992"
"10145","ALLIED SIGNAL INC","ALD","Dec. 31, 1925","Dec. 29, 2023"
"10161","AMAX INC","AMX","March 1, 1957","Nov. 12, 1993"
"10225","AMERICAN BRANDS INC","AMB","Dec. 31, 1925","April 30, 2014"
"10241","PRIMERICA CORP","PA","Dec. 31, 1925","Dec. 21, 1988"
"10364","ASARCO INC","AR","Dec. 31, 1925","Oct. 26, 1999"
"10372","AMERICAN STANDARD INC","AST","Feb. 26, 1947","April 27, 1988"
"10401","AMERICAN TELEPHONE & TELEG CO","T","March 1, 1957","Nov. 18, 2005"
"10516","ARCHER DANIELS MIDLAND CO","ADM","July 30, 1981","Dec. 29, 2023"
"10604","ATLANTIC RICHFIELD CO","ARC","March 1, 1957","April 17, 2000"
"10623","FIRST REPUBLIC BANCORP INC","FRBC","April 23, 1987","April 13, 1988"
"10786","BETHLEHEM STEEL CORP","BS","Dec. 31, 1925","Dec. 8, 2000"
"10866","BROWN GROUP INC","BG","March 1, 1957","July 19, 1996"
"10874","BRUNSWICK CORP","BC","March 1, 1973","June 20, 2008"
"10890","UNISYS CORP","UIS","April 20, 1954","Nov. 10, 2008"
"10989","C P C INTERNATIONAL INC","CPC","March 1, 1957","Oct. 2, 2000"
"11260","CHRYSLER CORP","C","Nov. 26, 1928","Nov. 12, 1998"
"11308","COCA COLA CO","KO","March 1, 1957","Dec. 29, 2023"
"11332","COLT INDUSTRIES INC DE","COT","Oct. 24, 1985","June 8, 1988"
"11340","COLUMBIA GAS SYS INC","CG","Dec. 31, 1925","Nov. 1, 2000"
"11404","CONSOLIDATED EDISON CO NY INC","ED","Dec. 31, 1925","Dec. 29, 2023"
"11607","DANA CORP","DCN","March 1, 1957","March 2, 2006"
"11674","DETROIT EDISON CO","DTE","Dec. 31, 1925","Dec. 29, 2023"
"11703","DU PONT E I DE NEMOURS & CO","DD","March 1, 1957","Aug. 31, 2017"
"11754","EASTMAN KODAK CO","EK","Dec. 31, 1925","Dec. 17, 2010"
"11762","EATON CORP","ETN","March 1, 1957","Dec. 29, 2023"
"11850","EXXON CORP","XON","Dec. 31, 1925","Dec. 29, 2023"
"12052","GENERAL DYNAMICS CORP","GD","March 1, 1957","Dec. 29, 2023"
"12060","GENERAL ELECTRIC CO","GE","March 1, 1957","Dec. 29, 2023"
"12079","GENERAL MOTORS CORP","GM","Dec. 31, 1925","June 2, 2009"
"12095","GENERAL SIGNAL CORP","GSX","March 1, 1957","Oct. 6, 1998"
"12140","GOODRICH B F CO","GR","March 1, 1957","July 30, 2012"
"12319","HOMESTAKE MINING CO","HM","March 1, 1957","Dec. 14, 2001"
"12431","INGERSOLL RAND CO","IR","March 1, 1957","June 30, 2009"
"12458","INLAND STEEL INDUSTRIES INC","IAD","March 1, 1957","June 30, 1998"
"12490","INTERNATIONAL BUSINESS MACHS COR","IBM","March 1, 1957","Dec. 29, 2023"
"12503","NAVISTAR INTERNATIONAL CORP","NAV","Dec. 31, 1925","Dec. 19, 2006"
"12511","INTERNATIONAL MINERALS & CHEM CO","IGL","Feb. 6, 1975","Oct. 17, 2000"
"12546","INCO LTD","N","Dec. 31, 1925","July 19, 2002"
"12570","I T T CORP","IIN","March 1, 1957","Oct. 31, 2011"
"12749","K MART CORP","KM","March 1, 1957","Jan. 16, 2002"
"12888","LONE STAR INDUSTRIES INC","LCE","Aug. 20, 1941","Dec. 11, 1990"
"13100","MAY DEPARTMENT STORES CO","MA","June 7, 1944","Aug. 29, 2005"
"13119","MAYTAG CORP","MYG","Dec. 14, 1960","March 31, 2006"
"13303","N L INDUSTRIES INC","NL","March 1, 1957","Jan. 3, 1994"
"13354","NATIONAL DISTILLERS & CHEM CORP","DR","March 1, 1957","Sept. 30, 1993"
"13688","PACIFIC GAS & ELEC CO","PCG","Dec. 31, 1925","Jan. 17, 2019"
"13821","PEOPLES ENERGY CORP","PGL","April 15, 1940","Feb. 21, 2007"
"13856","PEPSICO INC","PEP","March 1, 1957","Dec. 29, 2023"
"13901","PHILIP MORRIS COS INC","MO","March 1, 1957","Dec. 29, 2023"
"13928","PHILLIPS PETROLEUM CO","P","March 1, 1957","Dec. 29, 2023"
"14218","R J R NABISCO INC","RJR","March 1, 1957","Feb. 8, 1989"
"14277","SCHLUMBERGER LTD","SLB","March 4, 1965","Dec. 29, 2023"
"14322","SEARS ROEBUCK & CO","S","Dec. 31, 1925","March 24, 2005"
"14323","ANDREW CORP","ANDW","Nov. 23, 1984","Sept. 29, 2006"
"14541","CHEVRON CORP","CHV","Dec. 31, 1925","Dec. 29, 2023"
"14592","STERLING DRUG INC","STY","March 1, 1957","Feb. 24, 1988"
"14593","APPLE COMPUTER INC","AAPL","Nov. 18, 1982","Dec. 29, 2023"
"14656","SUN INC","SUN","March 6, 1969","Oct. 4, 2012"
"14736","TEXACO INC","TX","Dec. 31, 1925","Oct. 9, 2001"
"14795","TIMKEN CO","TKR","Feb. 20, 1964","Aug. 6, 2001"
"14883","UNION CAMP CORP","UCC","March 1, 1957","April 30, 1999"
"14891","UNOCAL CORP","UCL","March 1, 1957","Aug. 10, 2005"
"15069","U S X CORP","X","Dec. 31, 1925","Dec. 29, 2023"
"15077","U S T INC","UST","April 9, 1987","Jan. 5, 2009"
"15368","WESTINGHOUSE ELECTRIC CORP","WX","July 3, 1950","May 4, 2000"
"15456","WOOLWORTH F W CO","Z","Dec. 31, 1925","Dec. 31, 1998"
