,permno,mthcaldt,ticker,shrout,mthprc
0,62834,1988-01-29,EC,44983.0,20.375
1,62834,1988-02-29,EC,44983.0,20.125
2,62834,1988-03-31,EC,44983.0,19.5
3,62834,1988-04-29,EC,44983.0,20.125
4,62834,1988-05-31,EC,44983.0,19.0
5,62834,1988-06-30,EC,44622.0,19.875
6,62834,1988-07-29,EC,44622.0,18.375
7,62834,1988-08-31,EC,44622.0,17.125
8,62834,1988-09-30,EC,44945.0,19.375
9,62834,1988-10-31,EC,44945.0,19.25
10,62834,1988-11-30,EC,44945.0,18.25
11,62834,1988-12-30,EC,44755.0,17.25
12,62834,1989-01-31,EC,44755.0,18.25
13,62834,1989-02-28,EC,44755.0,21.25
14,62834,1989-03-31,EC,44755.0,21.125
15,62834,1989-04-28,EC,44755.0,21.125
16,62834,1989-05-31,EC,44755.0,20.5
17,62834,1989-06-30,EC,44718.0,20.875
18,62834,1989-07-31,EC,44718.0,21.125
19,62834,1989-08-31,EC,44718.0,22.25
20,62834,1989-09-29,EC,44718.0,23.5
21,62834,1989-10-31,EC,44718.0,20.875
22,62834,1989-11-30,EC,44718.0,21.125
23,62834,1989-12-29,EC,44718.0,19.25
24,62834,1990-01-31,EC,44718.0,21.0
25,62834,1990-02-28,EC,44718.0,18.75
26,62834,1990-03-30,EC,44718.0,18.0
27,62834,1990-04-30,EC,44718.0,18.0
28,62834,1990-05-31,EC,44718.0,20.625
29,62834,1990-06-29,EC,44780.0,22.375
30,62834,1990-07-31,EC,44780.0,21.875
31,62834,1990-08-31,EC,44780.0,19.0
32,62834,1990-09-28,EC,44780.0,20.625
33,62834,1990-10-31,EC,44780.0,18.375
34,62834,1990-11-30,EC,44780.0,18.125
35,62834,1990-12-31,EC,44639.0,18.875
36,62834,1991-01-31,EC,44639.0,19.375
37,62834,1991-02-28,EC,44639.0,23.875
38,62834,1991-03-28,EC,44639.0,25.0
39,62834,1991-04-30,EC,44639.0,26.625
40,62834,1991-05-31,EC,44639.0,28.25
41,62834,1991-06-28,EC,45062.0,29.625
42,62834,1991-07-31,EC,45062.0,30.75
43,62834,1991-08-30,EC,45062.0,32.875
44,62834,1991-09-30,EC,44897.0,33.5
45,62834,1991-10-31,EC,44897.0,31.5
46,62834,1991-11-29,EC,44897.0,29.5
47,62834,1991-12-31,EC,44969.0,32.5
48,62834,1992-01-31,EC,44969.0,33.0
49,62834,1992-02-28,EC,44969.0,36.625
50,62834,1992-03-31,EC,44969.0,36.875
51,62834,1992-04-30,EC,44969.0,37.375
52,62834,1992-05-29,EC,44969.0,36.75
53,62834,1992-06-30,EC,44835.0,40.5
54,62834,1992-07-31,EC,44835.0,43.125
55,62834,1992-08-31,EC,44835.0,42.625
56,62834,1992-09-30,EC,67546.0,30.75
57,62834,1992-10-30,EC,67546.0,32.375
58,62834,1992-11-30,EC,67546.0,35.125
59,62834,1992-12-31,EC,67102.0,34.375
60,62834,1993-01-29,EC,67102.0,38.25
61,62834,1993-02-26,EC,67102.0,43.5
62,62834,1993-03-31,EC,65720.0,42.875
63,62834,1993-04-30,EC,65720.0,33.75
64,62834,1993-05-28,EC,65720.0,36.0
65,62834,1993-06-30,EC,65685.0,37.5
66,62834,1993-07-30,EC,65685.0,39.25
67,62834,1993-08-31,EC,65685.0,41.0
68,62834,1993-09-30,EC,95941.0,26.375
69,62834,1993-10-29,EC,95941.0,27.5
70,62834,1993-11-30,EC,95941.0,24.0
71,62834,1993-12-31,EC,96078.0,24.375
72,62834,1994-01-31,EC,96078.0,26.25
73,62834,1994-02-28,EC,96078.0,27.5
74,62834,1994-03-31,EC,96078.0,27.75
75,62834,1994-04-29,EC,95946.0,26.0
76,62834,1994-05-31,EC,95946.0,26.875
77,62834,1994-06-30,EC,95946.0,25.25
78,62834,1994-07-29,EC,96608.0,24.5
79,62834,1994-08-31,EC,96608.0,26.875
80,62834,1994-09-30,EC,95842.0,26.875
81,62834,1994-10-31,EC,95842.0,23.5
82,62834,1994-11-30,EC,95232.0,22.0
83,62834,1994-12-30,EC,95232.0,22.125
84,62834,1995-01-31,EC,95232.0,24.875
85,62834,1995-02-28,EC,95232.0,26.375
86,62834,1995-03-31,EC,95232.0,29.625
87,62834,1995-04-28,EC,95098.0,38.375
88,62834,1995-05-31,EC,95098.0,41.75
89,62834,1995-06-30,EC,95495.0,42.875
90,62834,1995-07-31,EC,143243.0,30.375
91,62834,1995-08-31,EC,143243.0,28.375
92,62834,1995-09-29,EC,144131.0,25.375
93,62834,1995-10-31,EC,144131.0,24.875
94,62834,1995-11-30,EC,144051.0,23.375
95,62834,1995-12-29,EC,144051.0,21.75
96,62834,1996-01-31,EC,144051.0,23.125
97,62834,1996-02-29,EC,144051.0,20.375
98,62834,1996-03-29,EC,143700.0,23.375
99,62834,1996-04-30,EC,143716.0,25.125
100,62834,1996-05-31,EC,143716.0,24.5
101,62834,1996-06-28,EC,143716.0,23.0
102,62834,1996-07-31,EC,143718.0,20.5
103,62834,1996-08-30,EC,143873.0,20.375
104,62834,1996-09-30,EC,143873.0,23.0
105,62834,1996-10-31,EC,143873.0,18.25
106,62834,1996-11-29,EC,143873.0,19.5
107,62834,1996-12-31,EC,143851.0,19.125
108,62834,1997-01-31,EC,143851.0,19.875
109,62834,1997-02-28,EC,143851.0,22.125
110,62834,1997-03-31,EC,143851.0,21.0
111,62834,1997-04-30,EC,147295.0,21.0
112,62834,1997-05-30,EC,147295.0,21.625
113,62834,1997-06-30,EC,144216.0,20.9375
114,62834,1997-07-31,EC,144216.0,21.5
115,62834,1997-08-29,EC,144309.0,20.875
116,62834,1997-09-30,EC,144309.0,21.5625
